--- Blue Noise Points ---
Count: 658

Index,X,Z
0,-72.7558,-252.681
1,-72.365,-243.914
2,-59.1114,-244.785
3,-59.1951,-234.431
4,-55.9476,-220.94
5,-50.3012,-245.729
6,-54.9545,-206.986
7,-52.6482,-255.248
8,-51.1589,-231.649
9,-41.9015,-251.009
10,-70.9012,-230.868
11,-80.2944,-234.132
12,-77.3018,-221.334
13,-63.5311,-253.938
14,-65.9192,-238.782
15,-67.7171,-223.419
16,-68.3833,-213.486
17,-83.626,-214.164
18,-46.0559,-212.951
19,-37.7962,-224.357
20,-92.1673,-203.691
21,-40.3197,-236.362
22,-82.7035,-242.161
23,-85.4463,-251.082
24,-31.5729,-244.002
25,-34.9559,-214.391
26,-21.7119,-248.901
27,-48.4961,-193.362
28,-25.358,-233.828
29,-34.3786,-204.807
30,-24.2987,-219.716
31,-14.4895,-253.859
32,-96.6246,-242.949
33,-75.1312,-200.967
34,-62.9295,-201.704
35,-46.4036,-221.116
36,-83.1964,-188.049
37,-27.4081,-255.861
38,-89.4728,-223.282
39,-3.59437,-246.936
40,-28.0228,-196.432
41,-99.9464,-195.875
42,-38.3686,-190.154
43,-54.548,-183.195
44,-90.5786,-192.713
45,-96.226,-213.225
46,-90.263,-235.514
47,-111.13,-238.701
48,-101.606,-233.15
49,-104.423,-208.917
50,-18.8219,-238.692
51,-96.3349,-255.844
52,-104.441,-248.033
53,-98.6235,-223.834
54,-15.0756,-231.29
55,-62.057,-173.865
56,-6.48362,-221.099
57,-70.4655,-172.226
58,-19.7835,-196.818
59,-125.998,-236.754
60,-114.153,-251.053
61,-42.4078,-201.648
62,-108.27,-182.305
63,-105.974,-190.1
64,-97.3659,-178.31
65,-62.953,-165.236
66,-24.0138,-203.774
67,-8.37516,-191.76
68,-22.507,-181.589
69,-102.754,-167.528
70,-110.188,-228.652
71,-120.336,-183.721
72,-68.3597,-184.81
73,-68.1215,-195.175
74,-83.3303,-205.943
75,-83.206,-196.581
76,-44.5855,-178.668
77,-126.667,-247.346
78,-123.386,-254.754
79,-71.7767,-159.771
80,-56.1438,-196.129
81,-135.978,-252.162
82,-109.791,-172.667
83,-77.7525,-181.906
84,-108.7,-200.09
85,-6.7664,-209.732
86,-16.9424,-211.257
87,-0.235662,-227.629
88,-83.4265,-171.29
