--- Blue Noise Points ---
Count: 673

Index,X,Z
0,-178.213,447.188
1,-168.042,448.515
2,-160.356,462.494
3,-171.622,433.805
4,-190.071,443.737
5,-196.539,436.273
6,-175.876,458.528
7,-153.815,452.401
8,-186.875,455.119
9,-159.87,474.854
10,-174.045,478.414
11,-160.728,440.01
12,-182.157,437.464
13,-193.508,428.68
14,-190.191,421.146
15,-202.927,448.254
16,-170.179,470.217
17,-180.95,414.078
18,-157.975,426.948
19,-178.514,466.655
20,-169.036,425.113
21,-186.547,477.736
22,-180.079,426.49
23,-206.768,428.462
24,-148.351,471.729
25,-151.715,483.114
26,-204.281,439.763
27,-184.502,405.927
28,-199.862,414.86
29,-172.756,403.563
30,-214.931,434.042
31,-192.404,469.137
32,-165.837,482.586
33,-174.953,419.688
34,-168.816,412.078
35,-221.038,423.775
36,-195.009,450.059
37,-137.657,471.131
38,-194.909,406.444
39,-148.173,463.055
40,-198.938,479.626
41,-228.379,437.149
42,-153.018,497.026
43,-132.109,459.279
44,-210.857,450.501
45,-193.461,460.032
46,-142.418,491.658
47,-190.192,399.279
48,-208.221,461.164
49,-217.253,457.584
50,-177.743,395.233
51,-179.312,383.181
52,-213.487,473.67
53,-179.841,484.39
54,-192.498,390.715
55,-212.558,415.902
56,-169.085,384.11
57,-221.081,449.977
58,-169.867,493.48
59,-168.952,392.624
60,-162.097,498.128
61,-163.829,508.64
62,-180.179,495.891
63,-204.874,491.588
64,-205.444,398.87
65,-173.516,508.656
66,-201.286,388.885
67,-163.348,401.494
68,-146.977,426.548
69,-156.232,407.251
70,-153.381,395.416
71,-122.874,453.214
72,-224.346,407.831
73,-163.491,418.12
74,-147.582,402.805
75,-150.071,433.968
76,-137.7,435.217
77,-133.075,497.863
78,-152.448,416.861
79,-229.182,457.73
80,-136.563,482.023
81,-187.468,486.826
82,-159.771,380.552
83,-212.072,391.502
84,-136.402,402.61
85,-221.291,395.628
86,-226.108,472.961
87,-144.162,452.699
88,-232.124,427.322
89,-142.195,503.926
90,-132.475,423.515
91,-208.541,406.685
92,-126.358,468.014
93,-182.578,511.462
94,-140.072,412.66
95,-190.772,503.721
96,-202.942,468.265
97,-228.821,399.945
98,-139.652,444.913
99,-194.21,380.196
100,-220.965,382.459
101,-243.01,432.519
102,-239.63,419.247
103,-231.316,418.451
104,-223.229,415.794
105,-232.609,447.676
106,-200.729,456.477
107,-171.963,375.433
108,-207.55,483.142
109,-159.985,389.56
110,-213.786,443.003
111,-132.846,510.887
112,-233.576,385.656
113,-255.484,432.884
114,-234.481,393.672
115,-150.226,383.279
116,-149.341,444.652
117,-141.477,395.622
118,-219.199,466.892
119,-117.792,498.923
120,-123.912,484.736
121,-153.745,507.551
122,-204.581,373.443
123,-120.515,444.29
124,-213.791,400
125,-255.688,441.488
126,-108.349,441.201
127,-216.163,491.746
128,-196.563,367.871
129,-158.942,489.015
130,-205.406,509.551
131,-113.633,486.687
132,-217.964,482.102
133,-209.692,379.687
134,-127.943,401.998
135,-250.967,417.737
136,-185.217,372.981
137,-136.709,387.439
138,-237.976,438.971
139,-124.547,412.598
140,-108.472,455.336
141,-208.692,499.096
142,-212.007,368.968
143,-197.625,498.548
144,-244.952,412.124
145,-240.58,449.592
146,-227.282,368.723
147,-151.522,372.193
148,-247.741,445.687
149,-143.59,377.086
150,-229.027,496.806
151,-118.559,391.068
152,-203.475,360.786
153,-129.749,476.083
154,-217.607,511.707
155,-239.523,464.334
156,-243.891,378.584
157,-124.23,505.124
