--- Blue Noise Points ---
Count: 672

Index,X,Z
0,345.19,-138.838
1,354.938,-143.752
2,347.123,-152.946
3,335.654,-146.119
4,345.625,-168.437
5,358.005,-135.523
6,343.087,-130.408
7,326.012,-141.997
8,338.374,-173.535
9,353.265,-174.392
10,324.325,-152.563
11,339.647,-182.447
12,341.102,-160.059
13,337.442,-121.403
14,352.602,-119.707
15,359.742,-179.929
16,352.746,-128.708
17,353.794,-161.239
18,334.174,-134.216
19,332.416,-167.135
20,361.394,-168.49
21,360.567,-188.064
22,343.549,-109.789
23,371.333,-166.676
24,371.725,-158.343
25,332.395,-154.377
26,361.192,-119.631
27,336.092,-101.13
28,359.405,-152.585
29,327.96,-118.048
30,365.327,-194.842
31,324.157,-133.046
32,368.37,-130.493
33,374.183,-183.647
34,329.903,-176.933
35,348.92,-198.77
36,366.552,-148.464
37,352.423,-189.817
38,316.475,-146.483
39,360.463,-201.998
40,339.825,-202.535
41,351.28,-213.688
42,341.954,-217.532
43,330.812,-187.532
44,348.753,-99.4486
45,368.322,-208.479
46,375.226,-201.841
47,378.411,-153.903
48,341.282,-193.585
49,311.401,-132.571
50,314.599,-123.578
51,316.515,-164.404
52,384.485,-168.28
53,360.69,-107.468
54,325.531,-93.1633
55,363.505,-160.661
56,329.914,-207.008
57,377.635,-175.158
58,326.793,-160.952
59,329.637,-108.711
60,315.782,-98.896
61,376.792,-128.138
62,389.39,-180.496
63,318.492,-172.418
64,304.143,-142.463
65,359.495,-215.177
66,382.911,-212.151
67,325.054,-198.319
68,320.635,-188.393
69,335.096,-92.5927
70,370.01,-221.064
71,368.67,-140.17
72,305.226,-106.72
73,306.349,-168.299
74,367.067,-176.278
75,370.208,-231.612
76,322.103,-111.615
77,365.268,-99.2426
78,387.034,-221.93
79,379.015,-227.873
80,313.644,-113.131
81,321.116,-207.625
82,317.453,-180.846
83,305.621,-117.079
84,346.058,-82.2853
85,330.937,-220.041
86,354.477,-221.825
87,372.994,-112.777
88,363.012,-225.183
89,331.392,-233.346
90,398.222,-225.383
91,295.785,-117.292
92,302.946,-132.105
93,351.05,-234.151
94,381.818,-116.835
95,306.607,-91.623
96,358.606,-240.156
97,384.129,-136.134
98,380.507,-99.2886
99,314.77,-194.346
100,340.284,-228.669
101,387.218,-231.354
102,374.955,-193.135
103,397.27,-120.001
104,314.29,-84.9846
105,322.406,-78.6194
106,390.269,-125.011
107,294.595,-131.138
108,370.076,-120.737
109,386.974,-149.033
110,300.491,-124.401
111,386.301,-197.961
112,402.763,-185.278
113,383.455,-188.018
114,391.693,-208.046
115,309.128,-183.925
116,297.359,-108.908
117,314.32,-213.614
118,332.984,-195.759
119,316.906,-64.8096
120,395.594,-191.286
121,407.576,-233.172
122,394.228,-111.193
123,309.054,-153.843
124,343.937,-92.1933
125,355.355,-94.1418
126,406.862,-224.591
127,306.379,-53.6077
128,393.256,-166.198
129,318.291,-220.981
130,333.382,-81.0749
131,316.071,-50.1785
132,378.877,-242.289
133,398.17,-174.935
134,351.93,-111.34
135,300.344,-195.513
136,329.334,-65.0671
137,295.732,-165.47
138,419.348,-219.417
139,392.564,-157.158
140,408.818,-196.596
141,410.782,-175.753
142,377.797,-144.198
143,365.113,-85.0128
144,406.091,-118.256
145,384.874,-108.59
146,398.393,-142.216
147,294.568,-189.152
148,285.823,-118.435
149,302.526,-160.255
150,299.923,-178.594
151,387.175,-92.8976
152,395.863,-243.76
153,394.224,-218.056
154,406.133,-247.54
155,313.491,-202.726
156,345.76,-249.461
157,395.743,-233.53
158,372.492,-95.5928
159,421.068,-242.306
160,396.558,-201.673
161,288.652,-174.94
162,403.581,-206.745
163,306.113,-215.717
164,346.573,-241.481
165,387.824,-242.768
166,425.078,-250.27
167,279.821,-137.018
168,298.764,-152.09
169,308.073,-38.8244
170,424.202,-193.81
171,326.211,-227.117
172,384.979,-255.143
173,417.567,-186.051
174,323.119,-124.555
175,355.776,-73.9788
176,338.021,-241.03
177,320.255,-236.432
178,413.092,-207.112
179,337.813,-210.554
180,334.635,-249.28
181,376.241,-81.4548
182,284.598,-183.318
183,310.855,-175.322
184,412.615,-241.142
185,271.048,-115.569
186,403.769,-216.591
187,279.602,-108.097
188,420.266,-171.258
189,426.16,-210.423
190,403.335,-158.903
191,355.421,-250.182
192,274.497,-181.79
193,295.925,-95.5184
194,282.083,-169.235
195,317.044,-156.257
196,326.431,-41.67
197,366.484,-238.743
198,328.43,-243.215
199,369.712,-69.3644
200,320.494,-251.066
201,439.107,-208.012
202,284.803,-88.6816
203,311.627,-254.047
204,402.439,-255.023
205,285.665,-159.969
206,365.206,-76.6014
207,429.467,-218.65
208,293.168,-60.6883
209,304.457,-202.766
210,433.859,-196.472
211,429.267,-226.875
212,305.897,-64.6608
213,269.153,-161.167
214,416.642,-162.146
215,306.848,-80.2727
216,420.779,-203.616
217,277.486,-58.5681
218,354.47,-84.0199
219,411.261,-254.586
220,402.287,-129.386
221,287.383,-126.477
222,425.673,-180.011
223,265.6,-49.8605
224,311.157,-31.2564
225,288.558,-107.438
226,369.536,-250.94
227,338.668,-46.8022
228,419.257,-230.446
229,289.28,-141.982
230,288.953,-206.025
231,346.71,-39.6967
232,378.901,-61.7665
233,281.226,-67.3281
234,337.442,-33.5682
235,425.795,-155.044
236,324.033,-102.498
237,361.108,-57.2805
238,449.12,-207.194
239,402.585,-150.576
240,281.252,-152.018
241,334.169,-72.0118
242,273.324,-142.535
243,281.897,-198.572
244,344.466,-72.1036
245,357.589,-49.2919
246,259.056,-157.125
247,412.489,-140.004
248,273.237,-151.749
249,308.648,-242.282
250,349.741,-59.7592
251,437.19,-181.408
252,338.492,-59.2122
253,425.426,-164.262
254,388.843,-100.878
255,379.182,-219.791
256,417.967,-151.574
257,310.705,-230.861
258,378.355,-89.6325
259,428.642,-235.209
260,438.021,-166.669
261,294.627,-45.0369
262,409.12,-166.596
263,347.618,-50.2033
264,350.732,-26.1295
265,433.531,-245.328
266,443.823,-238.01
267,318.416,-40.3241
268,272.581,-173.943
269,324.648,-51.9904
270,438.836,-156.225
271,282.177,-76.7758
272,266.666,-107.398
273,437.515,-216.362
274,442.531,-200.612
275,456.211,-214.908
276,357.801,-65.2622
277,392.395,-133.656
278,276.067,-190.877
279,297.51,-207.012
280,305.239,-224.621
281,360.251,-37.8673
282,303.121,-254.687
283,329.334,-29.1266
284,403.209,-102.975
285,435.614,-254.454
286,291.959,-254.836
287,296.408,-247.314
288,320.855,-31.9628
289,302.009,-72.0357
290,447.312,-215.636
291,293.851,-80.8092
292,449.1,-228.576
293,275.515,-83.422
294,277.472,-161.766
295,257.974,-145.937
296,342.041,-23
297,432.706,-149.67
298,395.115,-95.7866
299,386.706,-69.0535
300,271.089,-130.372
301,319.885,-17.0847
302,262.964,-167.604
303,273.303,-101.679
304,448.046,-157.457
305,266.874,-190.887
306,328.786,-255.47
307,257.596,-179.348
308,261.53,-115.474
309,287.293,-30.8696
310,292.159,-223.517
311,384.649,-80.3466
312,333.23,-16.2823
313,292.306,-68.7684
314,405.485,-95.2567
315,261.431,-198.282
316,283.339,-97.6177
317,437.636,-232.301
318,298.777,-28.6461
319,395.889,-83.2018
320,289.366,-38.7432
321,379.141,-52.4172
322,421.841,-137.596
323,400.695,-74.4617
324,352.131,-11.6377
325,256.44,-105.572
326,262.43,-206.301
327,271.149,-203.05
328,292.313,-197.752
329,281.306,-48.9951
330,434.417,-139.98
331,369.844,-57.4028
332,298.056,-215.37
333,392.098,-75.0594
334,457.458,-227.429
335,271.384,-74.834
336,454.451,-198.851
337,442.196,-188.986
338,405.538,-83.8564
339,413.919,-128.841
340,266.181,-179.653
341,270.938,-64.407
342,296.772,-139.136
343,339.744,-255.679
344,260.731,-63.0229
345,440.399,-133.63
346,280.161,-206.482
347,470.492,-219.803
348,389.096,-60.163
349,280.714,-249.617
350,310.239,-72.245
351,455.913,-190.892
352,290.71,-239.832
353,423.299,-128.813
354,301.837,-236.218
355,283.726,-214.041
356,259.88,-131.279
357,411.066,-156.276
358,469.243,-236.995
359,458.192,-206.789
360,258.272,-218.129
361,446.065,-149.389
362,276.895,-122.262
363,276.884,-219.612
364,266.085,-147.302
365,256.655,-188.198
366,370.103,-42.3045
367,450.012,-141.678
368,373.049,-103.631
369,355.799,-19.76
370,266.965,-214.265
371,398.714,-53.0631
372,433.319,-174.321
373,283.605,-226.259
374,483.778,-221.885
375,320.929,-7.05041
376,289.98,-151.858
377,270.131,-225.57
378,444.229,-176.539
379,411.53,-43.5243
380,268.337,-93.9121
381,410.387,-70.7797
382,378.859,-43.8031
383,305.495,-14.8454
384,414.4,-106.572
385,456.096,-241.21
386,431.834,-187.487
387,300.086,-86.3792
388,424.326,-98.1868
389,312.206,-7.9793
390,280.661,-40.2402
391,379.375,-73.8341
392,452.393,-183.248
393,257.191,-122.383
394,302.42,-4.359
395,425.259,-120.118
396,283.378,-234.989
397,329.951,-2.24944
398,417.121,-119.471
399,274.152,-243.6
400,259.4,-72.1279
401,290.224,-14.103
402,431.245,-86.9736
403,276.221,-12.4406
404,467.513,-194.679
405,389.753,-43.936
406,422.256,-84.324
407,423.159,-108.254
408,289.991,-51.8416
409,264.213,-15.6726
410,464.344,-213.839
411,265.539,-123.759
412,451.35,-132.407
413,376.434,-35.2716
414,257.126,-55.7472
415,426.429,-144.298
416,388.588,-34.9228
417,291.5,-231.727
418,432.339,-115.579
419,271.454,-42.3729
420,286.746,-21.6661
421,412.47,-88.8468
422,459.795,-169.992
423,441.221,-223.57
424,272.057,-30.7742
425,265.717,-250.962
426,415.649,-96.4665
427,265.518,-242.015
428,410.659,-148.209
429,441.443,-120.186
430,279.151,-26.1425
431,257.189,-28.2572
432,261.041,-38.9647
433,300.057,-38.7742
434,450.22,-165.818
435,265.295,-26.1566
436,274.128,-0.394602
437,435.275,-102.84
438,460.193,-156.566
439,460.899,-179.147
440,402.323,-63.3268
441,416.298,-77.3188
442,492.365,-227.934
443,473.999,-206.256
444,450.584,-248.85
445,258.592,-97.5987
446,483.633,-196.405
447,260.349,-233.094
448,446.162,-112.179
449,420.086,-49.0673
450,412.517,-28.3118
451,268.763,-233.978
452,458.749,-249.391
453,286.066,-3.52137
454,342.832,-10.1093
455,496.275,-217.463
456,314.353,-23.8584
457,267.06,-7.39256
458,420.296,-69.1414
459,427.705,-78.4396
460,461.27,-145.937
461,353.762,-3.17362
462,390.123,-51.9734
463,477.041,-230.979
464,264.501,-137.922
465,456.313,-120.094
466,407.08,-110.105
467,257.51,-253.4
468,363.485,-10.2063
469,365.863,-22.1553
470,467.999,-168.475
471,463.826,-112.806
472,299.447,-20.5978
473,448.131,-99.2622
474,431.461,-129.189
475,411.062,-60.4807
476,402.991,-20.8529
477,258.214,-46.5402
478,480.958,-214.198
479,473.441,-189.112
480,503.08,-229.462
481,463.709,-186.694
482,342.954,-1.83302
483,493.921,-242.143
484,403.294,-9.30991
485,273.504,-255.019
486,435.699,-78.8918
487,420.288,-60.7121
488,459.384,-133.989
489,264.703,-84.7225
490,470.554,-178.344
491,256.087,-89.5359
492,454.303,-111.264
493,367.896,-31.4054
494,462.533,-125.494
495,375.351,-20.5623
496,471.037,-155.156
497,256.064,-244.704
498,463.952,-99.127
499,479.001,-179.901
500,474.338,-128.284
501,465.85,-204.172
502,428.769,-68.6701
503,439.391,-95.448
504,484.715,-154.284
505,384.645,-24.8804
506,490.898,-207.388
507,442.903,-87.8781
508,397.088,-38.0989
509,477.792,-163.082
510,502.184,-202.667
511,484.608,-171.359
512,484.101,-240.552
513,510.969,-191.945
514,359.591,-28.4733
515,401.112,-30.1343
516,294.067,-2.332
517,448.088,-79.0309
518,467.742,-133.882
519,451.673,-86.8311
520,476.174,-142.762
521,271.502,-20.6054
522,430.119,-59.9128
523,465.485,-244.817
524,468.76,-252.598
525,256.284,-18.5702
526,508.411,-178.677
527,505.806,-212.821
528,419.466,-38.1738
529,469.114,-106.304
530,446.274,-255.92
531,476.583,-93.5179
532,493.699,-175.831
533,469.383,-228.477
534,430.995,-51.9549
535,395.094,-23.3057
536,485.748,-248.75
537,418.312,-16.3524
538,459.023,-90.0618
539,425.82,-24.3911
540,489.952,-190.756
541,476.789,-110.627
542,488.493,-182.017
543,371.552,-9.52628
544,442.294,-247.22
545,444.54,-58.4315
546,492.068,-255.795
547,410.071,-51.6782
548,499.674,-190.901
549,475.859,-248.65
550,453.937,-151.248
551,511.591,-227.441
552,482.576,-132.483
553,378.907,-13.2557
554,499.765,-182.077
555,411.964,-10.6838
556,392.379,-14.0947
557,493.59,-198.935
558,394.483,-3.79577
559,374.215,-1.61503
560,494.849,-146.42
561,485.704,-145.722
562,463.803,-82.7857
563,452.828,-63.8168
564,257.565,-3.10689
565,382.536,-5.33021
566,418.679,-5.89748
567,468.794,-119.339
568,499.257,-248.251
569,441.18,-69.5203
570,459.441,-75.2255
571,425.758,-10.6149
572,490.241,-138.847
573,508.191,-241.091
574,498.847,-126.857
575,490.671,-160.56
576,504.422,-164.799
577,504.646,-255.113
578,462.486,-51.3725
579,455.504,-102.908
580,463.894,-61.0435
581,446.967,-49.2506
582,486.51,-124.97
583,489.688,-88.4693
584,497.175,-113.32
585,502.47,-136.203
586,499.137,-90.3422
587,506.248,-153.223
588,497.423,-79.3887
589,497.895,-102.352
590,475.645,-171.877
591,472.268,-85.7503
592,408.86,-1.64006
593,499.519,-158.454
594,482.575,-79.8492
595,511.222,-131.24
596,506.319,-145.163
597,428.223,-33.6081
598,459.061,-42.2658
599,440.947,-43.7377
600,432.127,-43.7216
601,507.175,-220.765
602,439.415,-31.0803
603,486.744,-97.1512
604,489.374,-108.058
605,427.207,-0.359356
606,478.719,-119.913
607,480.271,-102.282
608,495.318,-167.259
609,450.36,-22.7751
610,438.565,-22.8824
611,471.38,-52.0467
612,471.408,-74.9077
613,511.014,-87.2797
614,511.145,-108.44
615,511.402,-159.509
616,508.548,-78.7624
617,507.595,-70.7932
618,511.812,-98.4415
619,405.576,-38.1302
620,454.025,-53.5775
621,489.895,-74.1813
622,507.269,-116.849
623,496.176,-62.7034
624,476.441,-63.1277
625,499.165,-71.3589
626,434.531,-12.5763
627,447.872,-37.5839
628,486.672,-116.481
629,487.753,-60.0149
630,443.853,-10.6017
631,485.219,-232.258
632,502.196,-55.4098
633,482.792,-70.2747
634,460.859,-28.7276
635,511.515,-200.289
636,511.869,-168.948
637,464.151,-17.1884
638,467.432,-34.7555
639,435.689,-0.909502
640,482.788,-204.446
641,481.654,-46.8426
642,474.865,-42.1544
643,489.633,-48.1572
644,479.425,-30.6814
645,460.705,-7.30917
646,468.714,-26.3246
647,478.004,-10.8568
648,452.084,-4.2518
649,488.86,-32.64
650,443.797,-1.64087
651,453.98,-12.2142
652,467.677,-1.94544
653,478.337,-22.5186
654,507.166,-62.6092
655,486.507,-19.8818
656,480.7,-55.3791
657,500.597,-28.1954
658,497.822,-39.9476
659,506.494,-36.7764
660,498.082,-11.4381
661,486.181,-11.6279
662,510.309,-50.2473
663,510.382,-29.6834
664,476.833,-1.98313
665,484.915,-3.7096
666,494.267,-23.2528
667,504.905,-19.4829
668,469.856,-11.3785
669,493.496,-1.68986
670,507.294,-8.54001
671,507.024,-0.0670128
