--- Blue Noise Points ---
Count: 653

Index,X,Z
0,423.173,412.317
1,418.717,403.448
2,438.633,411.069
3,452.363,411.917
4,428.189,424.613
5,414.465,390.517
6,421.056,383.388
7,405.361,384.935
8,404.786,395.722
9,413.105,381.254
10,406.852,403.524
11,422.41,394.79
12,405.172,371.308
13,432.216,416.978
14,416.307,372.041
15,445.491,421.544
16,446.344,399.951
17,433.77,400.398
18,413.915,362.996
19,428.565,438.487
20,465.301,402.597
21,417.918,420.091
22,394.445,386.829
23,425.924,368.034
24,419.098,431.881
25,425.608,449.597
26,408.609,425.49
27,411.216,411.969
28,437.324,457.231
29,440.077,428.903
30,446.938,434.931
31,457.256,427.086
32,440.82,440.226
33,462.717,392.532
34,389.42,376.416
35,426.597,377.378
36,438.297,472.068
37,441.37,373.642
38,398.8,417.275
39,431.153,391.344
40,447.469,455.873
41,434.143,367.294
42,397.05,407.127
43,438.933,387.541
44,455.125,401.6
45,447.863,472.333
46,437.951,354.405
47,391.477,363.692
48,390.018,399.517
49,446.911,390.351
50,412.206,446.356
51,413.795,438.243
52,465.427,414.198
53,384.398,382.705
54,455.287,437.18
55,397.424,375.649
56,442.275,485.184
57,402.028,363.868
58,436.925,447.941
59,401.838,354.865
60,472.98,397.03
61,483.431,390.737
62,451.708,465.15
63,374.025,394.627
64,395.05,426.873
65,477.076,414.052
66,476.721,404.849
67,454.289,384.129
68,417.121,354.336
69,391.878,351.187
70,471.523,425.617
71,430.128,352.419
72,400.925,432.7
73,458.822,418.722
74,384.563,390.835
75,454.216,446.957
76,487.233,402.529
77,447.245,367.509
78,375.984,363.702
79,431.952,463.5
80,385.929,418.283
81,404.988,440.674
82,464.84,442.559
83,420.716,442.823
84,379.239,374.523
85,368.58,349.962
86,422.147,344.927
87,431.499,339.839
88,454.917,373.995
89,423.448,359.578
90,377.614,408.592
91,364.989,388.964
92,470.918,434.173
93,403.118,345.942
94,412.228,339.173
95,493.615,391.652
96,444.471,343.156
97,426.79,404.608
98,424.385,466.255
99,501.436,399.717
100,384.899,356.029
101,368.686,376.171
102,361.091,373.064
103,489.235,379.285
104,500.504,387.369
105,376.387,386.268
106,387.551,409.149
107,496.302,411.455
108,418.56,325.009
109,477.253,383.405
110,386.764,435.287
111,360.966,397.663
112,392.874,443.453
113,446.583,354.253
114,434.222,380.189
115,421.762,333.788
116,368.236,409.558
117,487.854,418.216
118,382.916,427.132
119,357.568,408.411
120,459.955,349.28
121,454.645,393.12
122,412.516,347.423
123,508.943,380.328
124,441.458,464.465
125,467.291,385.625
126,457.718,335.602
127,457.411,456.243
128,374.493,437.645
129,416.778,462.918
130,366.56,418.607
131,428.323,478.814
132,423.211,457.295
133,460.073,473.428
134,350.71,375.028
135,402.27,464.738
136,497.902,379.731
137,464.712,367.436
138,466.077,463.519
139,354.017,391.893
140,502.375,423.971
141,497.817,370.311
142,468.245,451.958
143,384.583,340.14
144,481.401,432.476
145,350.327,417.725
146,481.841,370.39
147,347.882,405.001
148,456.472,364.161
149,403.752,449.208
150,444.332,381.404
151,412.131,454.703
152,430.692,322.079
153,357.867,423.316
154,508.513,389.086
155,392.558,458.942
156,421.32,311.893
157,510.434,370.909
158,477.597,445.627
159,344.204,424.825
160,380.194,443.568
161,490.789,425.961
162,472.859,370.674
163,463.319,375.648
164,482.647,452.849
165,368.561,450.241
166,439.104,318.146
167,345.245,391.822
168,489.61,367.72
169,474.345,357.721
170,361.86,357.989
171,463.909,341.399
172,507.424,362.383
173,406.385,324.026
174,335.339,413.046
175,499.857,359.77
176,496.532,351.778
177,369.597,430.591
178,359.787,437.1
179,497.152,437.724
180,403.165,337.014
181,376.028,421.889
182,443.424,331.879
183,349.122,431.18
184,477.346,342.575
185,389.218,329.264
186,350.298,445.53
187,505.575,343.135
188,363.451,457.345
189,493.953,446.729
190,497.009,335.003
191,336.309,428.273
192,458.776,482.131
193,434.228,487.368
194,468.596,484.756
195,491.395,358.333
196,417.56,472.517
197,482.493,361.764
198,480.855,486.645
199,338.412,398.761
200,342.47,443.756
201,348.909,384.481
202,389.449,451.28
203,501.805,323.598
204,321.638,433.655
205,478.812,421.873
206,468.907,349.675
207,505.19,437.681
208,388.61,469.441
209,376.191,352.45
210,451.297,323.17
211,505.787,331.03
212,329.335,441.29
213,509.033,448.061
214,384.003,458.74
215,453.012,343.495
216,392.637,341.351
217,337.363,385.356
218,399.147,472.754
219,500.61,454.721
220,471.739,469.316
221,408.802,471.17
222,404.688,483.924
223,485.541,347.364
224,414.664,480.475
225,446.456,310.599
226,485.543,443.478
227,367.48,338.333
228,413.736,316.968
229,420.974,494.556
230,500.918,465.488
231,510.063,456.907
232,504.788,413.486
233,489.069,435.123
234,479.151,463.119
235,379.873,468.333
236,510.788,316.449
237,352.737,366.849
238,430.21,306.578
239,446.741,299.911
240,367.758,464.495
241,470.337,331.892
242,397.12,480.922
243,406.66,496.831
244,408.12,509.804
245,397.232,327.42
246,484.067,337.624
247,509.44,305.63
248,375.046,458.966
249,478.227,478.412
250,328.389,425.084
